step,mean_reward,mean_sinr_db,mean_Te2E,avg_Tloc,avg_Ttx,avg_TQ,avg_Tcpu
1,1.686226,10.8770,3.830838e-01,3.733333e-04,3.820126e-01,6.667556e-04,3.111111e-05
2,0.866864,0.9035,1.048141e-01,6.666667e-04,1.020911e-01,2.000800e-03,5.555556e-05
3,1.362332,5.1462,2.598810e-02,4.000000e-04,2.488801e-02,6.667556e-04,3.333333e-05
4,0.863503,1.5680,3.723591e-01,4.000000e-04,3.709256e-01,1.000200e-03,3.333333e-05
5,2.971241,15.7513,6.539476e-02,5.333333e-04,6.348329e-02,1.333689e-03,4.444444e-05
6,1.762025,6.8844,3.394995e-01,2.666667e-04,3.385439e-01,6.667556e-04,2.222222e-05
7,1.051012,1.8237,1.853996e-02,1.333333e-04,1.806216e-02,3.333556e-04,1.111111e-05
8,1.510173,9.1947,1.412461e-01,1.333333e-04,1.407683e-01,3.333556e-04,1.111111e-05
9,1.591669,5.9719,2.818846e-02,2.666667e-04,2.723281e-02,6.667556e-04,2.222222e-05
10,0.975732,2.4614,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
11,1.790755,6.4143,8.159362e-02,8.000000e-04,7.839254e-02,2.334423e-03,6.666667e-05
12,1.792516,9.4454,1.624451e-01,5.333333e-04,1.608671e-01,1.000200e-03,4.444444e-05
13,2.449173,17.1646,2.573905e-01,6.666667e-04,2.546674e-01,2.000800e-03,5.555556e-05
14,2.915565,16.1217,3.455040e-01,5.333333e-04,3.435925e-01,1.333689e-03,4.444444e-05
15,1.965964,13.0269,6.883926e-03,2.666667e-04,5.928282e-03,6.667556e-04,2.222222e-05
16,2.224192,12.6889,6.288807e-02,4.000000e-04,6.178799e-02,6.667556e-04,3.333333e-05
17,1.935623,10.0026,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
18,1.180863,3.6102,3.562118e-02,4.000000e-04,3.418765e-02,1.000200e-03,3.333333e-05
19,1.528291,4.7342,6.300594e-02,5.333333e-04,6.076094e-02,1.667222e-03,4.444444e-05
20,1.532248,4.6001,1.510818e-02,2.666667e-04,1.415253e-02,6.667556e-04,2.222222e-05
21,1.503343,4.0183,4.462747e-02,5.333333e-04,4.304949e-02,1.000200e-03,4.444444e-05
22,1.678186,11.0219,5.344504e-01,2.666667e-04,5.334947e-01,6.667556e-04,2.222222e-05
23,0.760677,0.5119,2.866018e-02,2.666667e-04,2.770454e-02,6.667556e-04,2.222222e-05
24,1.379952,4.6184,1.038517e-01,4.000000e-04,1.024182e-01,1.000200e-03,3.333333e-05
25,1.904110,11.1274,1.006849e-01,5.333333e-04,9.843992e-02,1.667222e-03,4.444444e-05
26,2.243763,16.1917,6.751985e-01,8.000000e-04,6.716637e-01,2.668090e-03,6.666667e-05
27,2.959393,18.0143,1.223279e-01,8.000000e-04,1.194604e-01,2.000800e-03,6.666667e-05
28,1.479072,4.7442,5.497301e-02,4.000000e-04,5.387292e-02,6.667556e-04,3.333333e-05
29,1.888178,7.0466,1.608332e-01,8.000000e-04,1.569647e-01,3.001801e-03,6.666667e-05
30,2.714019,20.6456,6.704353e-01,6.666667e-04,6.687129e-01,1.000200e-03,5.555556e-05
